age,job,marital,education,default,balance,housing,loan,pdays,previous,poutcome,result
54,entrepreneur,divorced,tertiary,no,20527,no,no,-1,0,unknown,fail
38,management,single,tertiary,no,4841,no,no,-1,0,unknown,fail
51,management,married,tertiary,no,176,yes,yes,687,2,failure,fail
40,unemployed,single,tertiary,no,79,no,no,135,1,failure,success
33,unemployed,married,secondary,no,1211,no,no,188,1,success,success
34,admin.,married,secondary,no,1406,yes,no,85,1,success,success
53,technician,married,tertiary,no,395,no,no,148,1,failure,success
34,blue-collar,married,secondary,no,2308,yes,no,-1,0,unknown,fail
28,technician,single,secondary,no,154,yes,no,-1,0,unknown,success
38,services,single,secondary,no,70,yes,no,-1,0,unknown,fail
31,technician,single,secondary,no,23,no,no,-1,0,unknown,fail
45,entrepreneur,divorced,secondary,no,44,no,yes,2,1,other,fail
35,retired,married,primary,no,329,no,yes,-1,0,unknown,fail
56,management,married,primary,no,31,yes,no,-1,0,unknown,fail
31,technician,married,secondary,no,4,yes,no,-1,0,unknown,fail
62,retired,married,secondary,no,569,no,no,1,8,success,success
46,management,married,tertiary,no,-3,no,no,-1,0,unknown,fail
37,management,married,tertiary,no,58,yes,no,-1,0,unknown,fail
46,blue-collar,married,secondary,no,9347,yes,no,117,1,other,fail
34,technician,married,secondary,no,22,no,no,-1,0,unknown,fail
46,blue-collar,married,primary,no,530,yes,no,-1,0,unknown,fail
39,admin.,married,secondary,no,973,yes,no,-1,0,unknown,fail
44,management,single,tertiary,no,1206,no,no,-1,0,unknown,fail
49,management,married,tertiary,no,942,no,no,-1,0,unknown,fail
26,management,single,tertiary,no,2722,no,no,-1,0,unknown,fail
52,blue-collar,married,secondary,no,5275,no,yes,-1,0,unknown,fail
31,unemployed,married,secondary,no,3242,no,no,-1,0,unknown,fail
44,admin.,married,secondary,no,0,yes,yes,-1,0,unknown,fail
61,housemaid,married,tertiary,no,1389,no,no,-1,0,unknown,fail
39,blue-collar,married,secondary,no,1254,yes,no,353,5,other,fail
35,management,single,tertiary,no,1228,no,no,88,12,failure,success
47,technician,married,secondary,no,349,yes,yes,273,1,failure,fail
31,technician,single,secondary,no,18,no,no,-1,0,unknown,fail
51,blue-collar,married,primary,no,1466,yes,no,-1,0,unknown,fail
58,management,married,tertiary,no,1602,no,no,115,3,failure,fail
31,admin.,single,tertiary,no,-194,no,no,-1,0,unknown,fail
50,services,married,secondary,yes,0,no,no,-1,0,unknown,fail
49,management,married,tertiary,no,666,yes,no,309,6,failure,fail
40,blue-collar,married,primary,no,4608,yes,no,156,1,failure,fail
40,entrepreneur,married,secondary,no,2663,yes,yes,-1,0,unknown,fail
39,management,single,secondary,no,-490,no,yes,-1,0,unknown,fail
52,blue-collar,married,secondary,no,2230,no,no,-1,0,unknown,success
31,management,single,tertiary,no,0,no,no,-1,0,unknown,fail
47,entrepreneur,married,tertiary,no,459,yes,no,-1,0,unknown,fail
36,unemployed,single,secondary,no,851,no,no,-1,0,unknown,fail
50,blue-collar,married,primary,no,40,yes,no,-1,0,unknown,fail
60,technician,married,secondary,no,1139,no,no,207,2,failure,fail
55,admin.,married,secondary,no,865,yes,no,82,2,failure,fail
47,admin.,married,secondary,no,310,yes,yes,-1,0,unknown,fail
56,blue-collar,married,primary,no,420,yes,no,-1,0,unknown,fail
40,management,married,tertiary,no,-4,yes,no,-1,0,unknown,fail
43,blue-collar,married,secondary,no,1324,yes,no,-1,0,unknown,fail
53,housemaid,married,primary,no,2581,no,no,-1,0,unknown,fail
38,admin.,married,tertiary,no,1209,no,no,-1,0,unknown,fail
32,blue-collar,married,secondary,no,316,yes,no,-1,0,unknown,fail
29,blue-collar,married,secondary,no,-305,yes,yes,-1,0,unknown,fail
58,self-employed,married,secondary,no,0,yes,no,-1,0,unknown,fail
54,management,divorced,secondary,no,2762,no,no,-1,0,unknown,fail
52,unemployed,married,tertiary,no,2133,no,yes,-1,0,unknown,fail
33,technician,divorced,secondary,no,295,no,no,-1,0,unknown,fail
30,technician,single,secondary,no,224,yes,no,-1,0,unknown,fail
36,management,single,tertiary,no,3850,yes,no,-1,0,unknown,fail
28,admin.,single,unknown,no,2736,no,no,-1,0,unknown,success
34,self-employed,married,tertiary,no,2427,no,no,70,3,failure,fail
33,self-employed,married,secondary,no,0,no,no,-1,0,unknown,fail
47,housemaid,married,primary,no,1747,yes,no,-1,0,unknown,fail
27,management,single,secondary,no,0,yes,no,-1,0,unknown,fail
39,admin.,married,secondary,no,835,yes,no,-1,0,unknown,fail
52,management,married,tertiary,no,1177,yes,no,-1,0,unknown,fail
33,management,single,tertiary,no,134,no,no,-1,0,unknown,fail
50,management,married,secondary,no,49,yes,no,-1,0,unknown,fail
60,self-employed,married,secondary,no,3105,no,no,-1,0,unknown,fail
23,blue-collar,married,secondary,no,0,yes,,-1,0,unknown,fail
40,services,married,secondary,no,405,no,no,-1,0,,fail
37,unemployed,married,secondary,no,1152,no,no,-1,0,unknown,fail
49,admin.,divorced,secondary,no,283,yes,no,-1,0,unknown,fail
37,services,single,secondary,no,393,yes,no,350,2,other,fail
41,entrepreneur,married,tertiary,no,70,no,no,557,1,failure,fail
52,management,married,primary,no,0,yes,yes,-1,0,unknown,fail
32,management,divorced,primary,no,137,yes,no,-1,0,unknown,fail
31,entrepreneur,single,tertiary,no,566,yes,no,-1,0,unknown,fail
29,management,single,tertiary,no,1895,no,no,-1,0,unknown,fail
36,management,single,tertiary,no,490,no,no,-1,0,unknown,fail
32,technician,divorced,secondary,no,0,yes,no,-1,0,unknown,fail
30,blue-collar,married,secondary,no,1171,yes,no,324,2,failure,fail
32,admin.,married,secondary,no,277,yes,no,-1,0,unknown,fail
29,technician,single,secondary,no,1395,yes,no,-1,0,unknown,fail
41,blue-collar,married,primary,no,484,yes,no,-1,0,unknown,fail
51,technician,divorced,secondary,no,-406,no,yes,-1,0,unknown,fail
29,blue-collar,single,secondary,no,262,yes,no,-1,0,unknown,fail
33,services,single,secondary,no,329,yes,yes,-1,0,unknown,fail
33,blue-collar,single,secondary,no,56,yes,no,-1,0,unknown,fail
38,unemployed,married,primary,no,7005,yes,no,412,1,failure,success
34,services,single,primary,no,496,yes,no,-1,0,unknown,fail
37,technician,single,secondary,no,3,yes,no,-1,0,unknown,fail
28,blue-collar,married,primary,no,-65,yes,no,-1,0,unknown,fail
30,technician,single,tertiary,no,0,no,no,-1,0,unknown,fail
32,services,married,secondary,no,11,no,no,-1,0,unknown,fail
30,management,single,tertiary,no,775,yes,no,-1,0,unknown,fail
39,management,married,unknown,no,4800,no,no,-1,0,unknown,fail
35,blue-collar,single,secondary,no,4963,yes,no,300,1,failure,success
33,management,single,tertiary,no,417,yes,no,87,1,failure,fail
26,technician,single,tertiary,no,192,yes,no,-1,0,unknown,fail
36,services,married,secondary,no,380,yes,no,-1,0,unknown,fail
28,services,single,secondary,no,68,yes,no,-1,0,unknown,fail
40,blue-collar,married,primary,no,14,yes,no,-1,0,unknown,fail
30,admin.,single,secondary,no,1450,yes,no,355,1,failure,fail
47,admin.,married,primary,no,68,yes,no,-1,0,unknown,fail
26,blue-collar,single,secondary,no,2353,no,no,-1,0,unknown,fail
31,services,single,secondary,no,1027,no,no,-1,0,unknown,success
44,services,single,secondary,no,618,no,no,-1,0,unknown,success
38,unknown,married,unknown,no,124,yes,no,-1,0,unknown,fail
36,unemployed,married,secondary,no,1453,no,no,-1,0,unknown,fail
44,blue-collar,married,unknown,no,1529,yes,no,-1,0,unknown,success
41,technician,single,secondary,no,631,no,no,-1,0,unknown,fail
33,management,divorced,secondary,no,1897,yes,yes,-1,0,unknown,fail
35,management,married,tertiary,no,0,yes,no,-1,0,unknown,fail
57,retired,single,secondary,no,1640,no,yes,-1,0,unknown,fail
36,housemaid,married,primary,no,78,yes,no,-1,0,unknown,success
39,blue-collar,married,secondary,no,-220,yes,no,352,2,failure,fail
31,management,single,tertiary,no,933,yes,no,-1,0,unknown,fail
44,housemaid,married,tertiary,no,460,no,no,-1,0,,fail
32,services,single,secondary,no,-23,no,no,305,1,failure,fail
45,admin.,divorced,secondary,no,660,yes,no,-1,0,unknown,fail
47,services,divorced,secondary,no,829,no,yes,-1,0,unknown,fail
56,retired,married,secondary,no,1678,yes,no,-1,0,unknown,fail
54,retired,married,secondary,no,3538,no,no,-1,0,unknown,success
29,admin.,divorced,secondary,yes,-489,yes,no,-1,0,unknown,fail
59,retired,married,tertiary,no,4589,no,no,-1,0,unknown,fail
33,management,single,tertiary,no,239,no,no,-1,0,unknown,fail
56,retired,married,primary,no,556,yes,no,-1,0,unknown,fail
38,technician,divorced,secondary,no,631,yes,no,-1,0,unknown,fail
51,management,married,tertiary,no,-3,no,no,-1,0,unknown,fail
27,blue-collar,single,secondary,yes,-27,no,no,-1,0,unknown,success
27,blue-collar,single,secondary,no,100,yes,no,367,1,failure,fail
50,management,married,secondary,no,13931,yes,no,-1,0,unknown,fail
35,blue-collar,single,secondary,no,-257,yes,no,-1,0,unknown,fail
36,admin.,married,secondary,no,4785,no,yes,-1,0,unknown,fail
43,management,single,tertiary,no,0,no,no,-1,0,unknown,fail
27,management,single,tertiary,no,207,no,no,-1,0,unknown,fail
47,blue-collar,married,secondary,no,3715,no,no,182,4,other,success
37,management,married,tertiary,no,620,yes,no,-1,0,unknown,fail
60,housemaid,married,unknown,no,5421,no,no,-1,0,unknown,fail
57,blue-collar,married,primary,no,-238,no,no,-1,0,unknown,fail
27,management,single,tertiary,no,1137,yes,no,-1,0,unknown,fail
27,technician,single,secondary,no,16,no,no,-1,0,unknown,fail
37,admin.,single,secondary,no,9,yes,no,-1,0,unknown,fail
52,management,married,unknown,no,414,yes,no,-1,0,unknown,fail
52,technician,married,secondary,no,192,yes,no,-1,0,unknown,fail
34,services,married,secondary,no,790,yes,no,350,1,failure,fail
48,technician,married,secondary,yes,0,no,no,-1,0,unknown,success
36,services,married,secondary,no,8114,yes,no,-1,0,unknown,fail
38,unemployed,married,secondary,no,995,no,no,-1,0,unknown,fail
31,technician,single,secondary,no,863,yes,no,111,6,failure,fail
56,blue-collar,married,primary,no,0,yes,no,-1,0,unknown,success
39,admin.,divorced,secondary,,1086,no,no,-1,0,unknown,fail
50,blue-collar,married,secondary,no,907,no,yes,-1,0,unknown,fail
31,technician,single,secondary,no,335,yes,no,-1,0,unknown,fail
38,blue-collar,single,unknown,no,840,no,no,-1,0,unknown,fail
33,blue-collar,married,primary,no,1138,yes,yes,343,4,failure,fail
33,housemaid,married,primary,no,209,no,no,-1,0,unknown,fail
44,blue-collar,married,secondary,no,3224,yes,no,-1,0,unknown,fail
32,blue-collar,married,secondary,yes,-53,yes,no,272,1,other,success
59,services,married,secondary,no,292,no,yes,-1,0,unknown,fail
34,self-employed,single,tertiary,no,1943,yes,no,-1,0,unknown,fail
45,services,married,primary,no,-79,yes,no,348,2,failure,fail
51,housemaid,divorced,primary,no,127,no,no,-1,0,unknown,fail
41,blue-collar,married,secondary,no,211,yes,no,368,4,failure,fail
35,blue-collar,married,primary,no,441,yes,no,-1,0,unknown,fail
47,services,married,secondary,no,-98,yes,yes,-1,0,unknown,fail
30,services,single,unknown,no,347,yes,no,-1,0,unknown,fail
60,retired,married,tertiary,no,100,no,no,-1,0,unknown,fail
59,housemaid,married,primary,no,352,no,no,-1,0,unknown,fail
39,housemaid,divorced,secondary,no,7783,no,no,-1,0,unknown,fail
33,technician,married,secondary,no,152,yes,no,-1,0,unknown,fail
55,technician,married,tertiary,no,255,no,no,-1,0,unknown,fail
37,services,divorced,secondary,no,532,yes,no,-1,0,unknown,fail
36,technician,married,tertiary,no,1327,no,no,-1,0,unknown,fail
32,admin.,single,secondary,no,13,yes,no,-1,0,unknown,fail
49,blue-collar,married,unknown,no,5,no,no,-1,0,unknown,fail
36,services,married,secondary,no,-74,yes,no,-1,0,unknown,fail
40,entrepreneur,single,tertiary,no,262,yes,yes,-1,0,unknown,fail
,blue-collar,married,primary,no,714,yes,no,-1,0,unknown,fail
38,management,married,tertiary,no,119,yes,no,-1,0,unknown,success
35,services,single,secondary,no,25,yes,no,-1,0,unknown,fail
33,management,married,tertiary,no,4636,no,no,-1,0,unknown,fail
41,technician,married,tertiary,no,354,no,no,-1,0,unknown,fail
54,entrepreneur,married,tertiary,no,1063,yes,no,-1,0,unknown,fail
35,management,married,tertiary,no,2793,no,no,-1,0,unknown,fail
31,self-employed,married,secondary,no,581,yes,no,152,6,failure,fail
31,blue-collar,married,primary,no,0,yes,no,-1,0,unknown,fail
25,admin.,single,secondary,no,1235,yes,yes,349,3,failure,fail
65,retired,divorced,secondary,no,828,no,no,-1,0,unknown,success
41,technician,divorced,secondary,no,106,yes,yes,-1,0,unknown,fail
59,retired,married,secondary,no,25947,no,no,-1,0,unknown,fail
39,technician,married,secondary,no,1965,yes,no,-1,0,unknown,fail
34,blue-collar,married,primary,no,2720,yes,no,146,5,failure,fail
44,entrepreneur,married,tertiary,no,121,no,no,-1,0,unknown,success
41,blue-collar,married,primary,no,4593,yes,yes,-1,0,unknown,fail
34,entrepreneur,married,tertiary,no,7962,yes,no,-1,0,unknown,fail
77,retired,married,primary,no,680,no,no,94,3,failure,fail
44,technician,married,secondary,no,533,yes,no,110,2,failure,fail
35,technician,married,tertiary,no,122,no,no,-1,0,unknown,fail
33,services,married,secondary,no,450,yes,no,-1,0,unknown,fail
42,management,married,tertiary,no,1340,yes,no,-1,0,unknown,fail
37,blue-collar,married,primary,no,708,yes,no,-1,0,unknown,fail
29,technician,single,secondary,no,769,yes,yes,-1,0,unknown,fail
35,services,married,secondary,no,52,yes,no,-1,0,unknown,success
46,technician,married,secondary,no,78,no,no,-1,0,unknown,fail
37,admin.,single,secondary,no,176,yes,no,-1,0,unknown,fail
50,admin.,single,secondary,no,167,no,yes,191,3,failure,fail
29,admin.,married,secondary,no,252,yes,no,371,1,failure,fail
28,admin.,single,secondary,no,89,yes,yes,-1,0,unknown,fail
45,retired,single,tertiary,no,212,no,no,-1,0,,fail
32,services,married,secondary,no,1167,yes,yes,147,1,failure,fail
29,self-employed,married,tertiary,no,4,no,no,-1,0,unknown,fail
24,technician,single,secondary,no,135,yes,yes,-1,0,unknown,fail
56,management,divorced,secondary,no,278,yes,no,-1,0,unknown,fail
57,management,married,tertiary,no,561,no,no,-1,0,unknown,fail
46,technician,married,secondary,no,3434,no,yes,-1,0,unknown,success
37,management,married,tertiary,no,6743,no,no,-1,0,unknown,fail
44,admin.,divorced,secondary,no,777,yes,no,350,2,failure,fail
39,blue-collar,married,secondary,no,660,yes,yes,168,3,failure,fail
35,blue-collar,married,tertiary,no,2999,no,no,-1,0,unknown,success
28,blue-collar,single,secondary,no,1705,no,no,-1,0,unknown,success
28,technician,single,secondary,no,922,yes,no,-1,0,unknown,fail
44,blue-collar,married,secondary,no,3060,yes,no,151,3,failure,fail
25,student,single,secondary,no,486,no,no,199,4,failure,success
70,retired,married,secondary,no,1310,no,no,-1,0,unknown,fail
22,student,single,secondary,no,364,yes,no,-1,0,unknown,fail
35,services,married,secondary,no,1728,yes,no,-1,0,unknown,fail
70,retired,divorced,secondary,no,6850,no,no,182,4,failure,fail
40,blue-collar,married,primary,no,105,yes,no,370,2,failure,fail
30,admin.,single,tertiary,no,1535,no,no,-1,0,unknown,fail
33,management,married,tertiary,no,1388,yes,no,202,3,failure,fail
38,blue-collar,married,primary,no,27,yes,no,-1,0,unknown,fail
59,technician,divorced,secondary,no,330,no,no,-1,0,unknown,fail
29,management,married,tertiary,no,1366,yes,no,-1,0,unknown,fail
40,admin.,single,secondary,no,1322,yes,no,-1,0,unknown,fail
43,blue-collar,divorced,primary,no,328,no,yes,-1,0,unknown,fail
54,technician,divorced,secondary,no,814,yes,no,-1,0,unknown,fail
44,management,married,tertiary,no,1791,no,no,182,2,success,success
50,services,married,secondary,no,60,no,yes,-1,0,unknown,fail
42,technician,married,tertiary,no,3777,yes,no,-1,0,unknown,fail
32,unemployed,married,secondary,no,2400,yes,yes,-1,0,unknown,fail
59,blue-collar,married,primary,no,-365,yes,no,-1,0,unknown,fail
31,management,married,tertiary,no,-513,no,yes,-1,0,unknown,fail
35,technician,single,tertiary,no,2650,no,no,-1,0,unknown,fail
45,technician,married,secondary,no,2020,yes,no,-1,0,unknown,fail
57,management,married,primary,no,80,no,yes,-1,0,unknown,fail
44,self-employed,single,tertiary,no,149,yes,no,-1,0,unknown,fail
38,technician,married,secondary,no,0,yes,no,-1,0,unknown,fail
57,management,married,tertiary,no,179,no,no,-1,0,unknown,fail
33,technician,married,tertiary,no,300,no,no,-1,0,unknown,fail
35,management,divorced,secondary,no,124,yes,no,146,5,failure,fail
59,blue-collar,divorced,secondary,no,-361,no,yes,-1,0,unknown,fail
48,blue-collar,married,secondary,no,426,yes,yes,177,2,failure,fail
,blue-collar,married,secondary,no,243,yes,no,-1,0,unknown,fail
32,management,married,tertiary,no,1402,no,no,557,2,failure,fail
32,blue-collar,married,secondary,no,139,yes,yes,-1,0,unknown,fail
52,blue-collar,married,primary,no,1401,no,no,-1,0,unknown,fail
36,technician,divorced,secondary,no,253,yes,no,-1,0,unknown,fail
48,unemployed,married,secondary,no,926,no,no,178,10,success,success
26,admin.,single,secondary,no,1099,no,no,225,13,other,fail
37,blue-collar,married,secondary,no,1059,yes,no,-1,0,unknown,fail
27,services,single,secondary,no,3354,yes,no,-1,0,unknown,fail
60,retired,married,secondary,no,1524,no,no,-1,0,unknown,fail
59,technician,married,secondary,no,283,no,no,-1,0,unknown,fail
25,services,single,secondary,no,93,no,no,-1,0,unknown,fail
31,admin.,married,secondary,no,5,yes,yes,-1,0,unknown,fail
27,management,single,tertiary,yes,0,yes,no,-1,0,unknown,fail
29,admin.,married,secondary,no,22171,yes,no,355,3,failure,fail
30,entrepreneur,married,secondary,no,946,yes,no,183,1,other,fail
45,technician,married,primary,no,-63,yes,no,-1,0,unknown,fail
34,unemployed,married,secondary,no,978,no,no,71,1,success,success
31,technician,single,secondary,no,775,no,no,-1,0,unknown,fail
45,technician,married,secondary,no,5749,no,no,-1,0,unknown,fail
31,blue-collar,single,primary,no,-443,yes,no,-1,0,unknown,fail
49,management,married,tertiary,no,3840,yes,no,-1,0,unknown,fail
58,blue-collar,divorced,primary,no,1299,no,no,234,2,failure,fail
42,technician,married,secondary,no,1539,no,no,211,2,failure,fail
32,management,married,tertiary,no,410,yes,no,-1,0,unknown,fail
52,retired,married,secondary,no,5423,no,yes,115,1,failure,fail
38,management,married,tertiary,no,-299,yes,no,-1,0,unknown,fail
36,blue-collar,married,secondary,no,604,yes,no,-1,0,unknown,fail
54,admin.,divorced,secondary,no,1814,no,no,-1,0,unknown,fail
43,self-employed,married,primary,yes,385,no,no,-1,0,unknown,fail
47,management,married,tertiary,no,1890,no,no,-1,0,unknown,fail
38,blue-collar,single,primary,no,1375,yes,no,-1,0,unknown,fail
50,technician,married,tertiary,no,917,no,no,-1,0,unknown,fail
42,management,single,tertiary,no,11891,no,no,-1,0,unknown,success
36,technician,married,secondary,no,594,no,yes,-1,0,unknown,fail
27,management,single,tertiary,no,450,yes,no,-1,0,unknown,fail
40,management,divorced,tertiary,no,9541,no,no,189,1,failure,fail
44,technician,married,secondary,no,135,yes,no,-1,0,unknown,fail
55,services,married,unknown,no,2944,no,no,-1,0,unknown,success
40,entrepreneur,married,tertiary,no,-164,no,no,-1,0,unknown,fail
29,admin.,single,tertiary,no,14,no,no,105,2,failure,fail
38,technician,married,secondary,no,318,no,no,181,5,failure,success
46,unknown,married,tertiary,no,5837,no,no,-1,0,unknown,fail
28,management,single,tertiary,no,111,yes,yes,-1,0,unknown,fail
73,retired,married,tertiary,no,2575,no,no,-1,0,unknown,fail
34,management,married,tertiary,no,336,yes,yes,-1,0,unknown,fail
46,technician,single,tertiary,no,568,no,no,-1,0,unknown,fail
37,management,single,tertiary,no,553,no,no,-1,0,unknown,fail
39,technician,divorced,secondary,no,394,yes,no,-1,0,unknown,fail
26,self-employed,single,tertiary,no,211,no,no,-1,0,unknown,fail
53,entrepreneur,married,secondary,no,0,no,no,-1,0,unknown,fail
35,technician,single,unknown,no,1342,yes,no,-1,0,unknown,fail
47,services,married,secondary,no,0,yes,no,-1,0,unknown,fail
35,technician,married,secondary,no,1368,no,no,41,2,other,success
45,management,single,tertiary,no,0,no,no,-1,0,unknown,fail
